Id	Category
	
2.0	Politics
10.0	Technology
25.0	Technology
28.0	Film
29.0	Business
33.0	Business
34.0	Business
37.0	Business
39.0	Technology
40.0	Technology
44.0	Business
56.0	Technology
66.0	Technology
75.0	Business
77.0	Business
85.0	Business
89.0	Business
92.0	Technology
107.0	Technology
112.0	Technology
115.0	Technology
139.0	Business
140.0	Business
152.0	Business
156.0	Technology
162.0	Technology
167.0	Business
170.0	Business
171.0	Technology
173.0	Politics
182.0	Technology
186.0	Football
193.0	Technology
196.0	Business
210.0	Business
218.0	Football
224.0	Business
227.0	Technology
230.0	Politics
232.0	Football
247.0	Football
262.0	Football
273.0	Football
276.0	Politics
279.0	Football
284.0	Business
286.0	Football
287.0	Business
305.0	Business
316.0	Business
337.0	Politics
342.0	Business
349.0	Film
357.0	Film
363.0	Film
367.0	Technology
368.0	Film
374.0	Technology
377.0	Film
385.0	Film
395.0	Film
401.0	Film
417.0	Film
422.0	Film
427.0	Film
433.0	Business
438.0	Business
469.0	Politics
470.0	Politics
473.0	Politics
481.0	Business
486.0	Business
490.0	Technology
495.0	Technology
510.0	Politics
519.0	Politics
523.0	Politics
533.0	Business
536.0	Politics
538.0	Politics
545.0	Business
550.0	Business
551.0	Business
557.0	Business
558.0	Business
561.0	Business
565.0	Politics
575.0	Business
583.0	Business
589.0	Business
592.0	Business
593.0	Business
594.0	Business
598.0	Business
599.0	Politics
607.0	Business
614.0	Business
626.0	Business
627.0	Politics
634.0	Technology
636.0	Business
639.0	Business
641.0	Technology
643.0	Business
650.0	Business
655.0	Business
662.0	Technology
666.0	Technology
667.0	Business
673.0	Technology
678.0	Technology
693.0	Technology
694.0	Technology
696.0	Technology
697.0	Business
699.0	Business
704.0	Business
706.0	Business
707.0	Technology
709.0	Film
717.0	Technology
724.0	Business
728.0	Technology
732.0	Technology
733.0	Business
741.0	Film
746.0	Business
747.0	Business
749.0	Business
750.0	Politics
754.0	Business
756.0	Business
768.0	Politics
769.0	Business
774.0	Business
775.0	Business
776.0	Politics
789.0	Business
802.0	Politics
804.0	Politics
809.0	Technology
816.0	Technology
825.0	Technology
827.0	Film
830.0	Business
837.0	Film
838.0	Business
839.0	Business
849.0	Business
854.0	Technology
865.0	Business
871.0	Politics
873.0	Politics
884.0	Politics
886.0	Politics
893.0	Business
896.0	Business
898.0	Business
907.0	Politics
909.0	Politics
910.0	Technology
911.0	Business
914.0	Politics
916.0	Business
922.0	Business
925.0	Business
926.0	Politics
935.0	Business
936.0	Business
946.0	Politics
952.0	Business
954.0	Business
959.0	Business
960.0	Business
961.0	Business
964.0	Business
965.0	Business
968.0	Business
971.0	Business
972.0	Business
982.0	Business
983.0	Business
985.0	Business
987.0	Business
990.0	Business
994.0	Business
1010.0	Politics
1014.0	Business
1024.0	Politics
1026.0	Business
1032.0	Business
1047.0	Politics
1050.0	Business
1059.0	Business
1061.0	Business
1062.0	Business
1069.0	Business
1072.0	Business
1074.0	Business
1081.0	Business
1088.0	Business
1090.0	Business
1093.0	Business
1097.0	Business
1100.0	Business
1102.0	Business
1105.0	Business
1142.0	Business
1143.0	Film
1155.0	Business
1162.0	Business
1163.0	Technology
1169.0	Business
1174.0	Business
1177.0	Technology
1178.0	Business
1184.0	Business
1185.0	Business
1192.0	Business
1208.0	Politics
1209.0	Politics
1215.0	Business
1217.0	Politics
1219.0	Business
1221.0	Business
1223.0	Business
1225.0	Politics
1229.0	Business
1230.0	Politics
1239.0	Politics
1251.0	Politics
1265.0	Technology
1269.0	Technology
1282.0	Football
1287.0	Technology
1295.0	Technology
1301.0	Technology
1302.0	Technology
1306.0	Film
1310.0	Technology
1314.0	Business
1322.0	Business
1328.0	Business
1331.0	Business
1332.0	Business
1337.0	Business
1345.0	Business
1349.0	Politics
1353.0	Politics
1356.0	Technology
1359.0	Technology
1368.0	Technology
1371.0	Technology
1377.0	Technology
1381.0	Technology
1387.0	Technology
1389.0	Technology
1404.0	Technology
1411.0	Technology
1413.0	Technology
1425.0	Technology
1428.0	Business
1429.0	Business
1430.0	Technology
1433.0	Technology
1437.0	Technology
1438.0	Technology
1446.0	Technology
1447.0	Technology
1454.0	Business
1461.0	Business
1462.0	Business
1463.0	Technology
1466.0	Technology
1469.0	Technology
1475.0	Technology
1485.0	Film
1488.0	Business
1493.0	Technology
1496.0	Film
1497.0	Film
1500.0	Technology
1502.0	Technology
1508.0	Business
1509.0	Technology
1518.0	Film
1522.0	Film
1524.0	Film
1527.0	Technology
1529.0	Film
1531.0	Film
1533.0	Film
1537.0	Film
1548.0	Film
1555.0	Film
1556.0	Film
1558.0	Film
1568.0	Film
1570.0	Film
1571.0	Film
1572.0	Film
1583.0	Film
1589.0	Film
1597.0	Film
1602.0	Film
1606.0	Film
1607.0	Film
1613.0	Film
1624.0	Film
1637.0	Film
1638.0	Film
1639.0	Film
1652.0	Film
1654.0	Film
1663.0	Politics
1675.0	Business
1695.0	Politics
1703.0	Politics
1704.0	Politics
1705.0	Business
1709.0	Business
1714.0	Business
1715.0	Business
1725.0	Business
1726.0	Business
1741.0	Film
1749.0	Business
1755.0	Business
1760.0	Football
1761.0	Football
1768.0	Film
1772.0	Football
1775.0	Football
1778.0	Business
1779.0	Business
1781.0	Technology
1784.0	Film
1789.0	Technology
1797.0	Business
1803.0	Film
1805.0	Business
1812.0	Film
1819.0	Business
1833.0	Film
1843.0	Politics
1844.0	Politics
1845.0	Business
1860.0	Film
1864.0	Film
1873.0	Film
1878.0	Film
1879.0	Film
1884.0	Film
1885.0	Film
1889.0	Technology
1895.0	Film
1907.0	Film
1908.0	Film
1910.0	Film
1915.0	Film
1917.0	Film
1920.0	Film
1921.0	Film
1928.0	Film
1951.0	Film
1962.0	Film
1963.0	Film
1964.0	Film
1965.0	Technology
1967.0	Film
1968.0	Film
1972.0	Film
1981.0	Film
1985.0	Film
1987.0	Film
1988.0	Film
1990.0	Film
1991.0	Film
1992.0	Film
1996.0	Film
2004.0	Film
2007.0	Film
2008.0	Film
2028.0	Film
2037.0	Film
2063.0	Film
2076.0	Film
2079.0	Football
2081.0	Technology
2083.0	Technology
2086.0	Football
2100.0	Politics
2101.0	Politics
2103.0	Politics
2104.0	Film
2116.0	Film
2117.0	Politics
2118.0	Politics
2119.0	Film
2132.0	Film
2134.0	Film
2136.0	Film
2138.0	Film
2151.0	Politics
2154.0	Film
2158.0	Film
2164.0	Film
2168.0	Politics
2172.0	Film
2181.0	Film
2191.0	Technology
2192.0	Film
2193.0	Film
2198.0	Film
2199.0	Politics
2205.0	Film
2207.0	Film
2214.0	Film
2224.0	Film
2228.0	Film
2229.0	Film
